                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0552,                 1.3249,                 1.2204,                0.89551,                0.92337,                0.92967,                0.68173,                0.94835,                0.82498,                 1.1838,               0.070294,              0.0033007,              0.0033007
                      1,                 1.0808,                 1.2599,                 1.2484,                 0.8885,                0.89779,                0.92403,                0.65505,                0.99925,                0.91455,                 1.2149,               0.040228,              0.0065683,              0.0065683
                      2,                 1.1372,                  1.364,                 1.2814,                0.86727,                0.85006,                0.90117,                0.63373,                  1.044,                0.93015,                 1.2668,               0.010097,                0.00977,                0.00977
                      3,                 1.2118,                 1.4977,                 1.3458,                 0.8641,                0.82164,                0.89331,                0.61335,                 1.0813,                 1.0311,                 1.3023,               0.009703,               0.009703,               0.009703
                      4,                 1.2421,                 1.5471,                 1.3293,                0.81859,                0.79206,                0.86171,                0.57078,                  1.162,                  1.158,                 1.3549,               0.009703,               0.009703,               0.009703
                      5,                 1.2431,                 1.5575,                 1.3542,                0.82619,                0.76602,                0.85599,                0.55853,                 1.1511,                 1.2157,                 1.3597,               0.009604,               0.009604,               0.009604
                      6,                   1.22,                 1.5677,                  1.329,                0.79409,                0.78843,                0.84833,                0.55906,                 1.1753,                 1.1785,                 1.3765,               0.009505,               0.009505,               0.009505
                      7,                 1.2322,                 1.5465,                 1.3584,                0.78176,                0.80878,                0.84444,                0.56362,                 1.1316,                 1.2087,                 1.3472,               0.009406,               0.009406,               0.009406
                      8,                 1.2325,                 1.4797,                 1.3449,                0.83512,                0.78525,                0.85352,                0.55387,                 1.1817,                 1.2085,                 1.3757,               0.009307,               0.009307,               0.009307
                      9,                 1.2178,                 1.4667,                 1.3322,                0.81331,                0.82253,                  0.859,                0.57531,                 1.1289,                 1.1654,                 1.3538,               0.009208,               0.009208,               0.009208
                     10,                 1.2241,                 1.4613,                 1.3442,                0.84184,                0.80316,                0.86582,                0.57318,                 1.1608,                 1.1374,                 1.3619,               0.009109,               0.009109,               0.009109
                     11,                 1.1844,                 1.4542,                 1.3414,                0.84547,                0.81237,                0.87717,                0.58634,                 1.1364,                 1.0562,                 1.3461,                0.00901,                0.00901,                0.00901
                     12,                 1.2306,                 1.4229,                 1.3339,                 0.8355,                0.81391,                0.87423,                 0.5905,                 1.1191,                 1.0663,                 1.3331,               0.008911,               0.008911,               0.008911
                     13,                  1.185,                 1.3762,                 1.3166,                0.85808,                0.83312,                0.87906,                0.60026,                 1.0932,                 1.0674,                 1.3105,               0.008812,               0.008812,               0.008812
                     14,                  1.195,                  1.392,                 1.3201,                0.83129,                 0.8274,                0.88574,                 0.5942,                 1.1362,                 1.0526,                 1.3503,               0.008713,               0.008713,               0.008713
                     15,                  1.184,                 1.3407,                 1.3113,                0.84796,                0.84213,                0.90059,                0.60603,                 1.1209,                0.98713,                  1.332,               0.008614,               0.008614,               0.008614
                     16,                 1.1748,                 1.3145,                 1.2996,                0.84665,                0.85781,                0.89155,                0.61838,                 1.0717,                 1.0218,                 1.2889,               0.008515,               0.008515,               0.008515
                     17,                 1.1747,                 1.3496,                 1.3134,                0.84199,                0.84377,                0.89388,                0.60874,                 1.0867,                 1.0233,                 1.2982,               0.008416,               0.008416,               0.008416
